Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
Words as Weapons,Birdy,neo mellow,2014,120,35,53,239,44
You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,63,224,38
Sheezus,Lily Allen,dance pop,2014,130,50,78,235,37
Cannonball,Lea Michele,hollywood,2014,92,82,56,215,37
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,64,230,30
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,74,207,28
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59,266,0
Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,282,84
I'm Not The Only One,Sam Smith,pop,2015,82,49,68,239,84
The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,242,84
Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,234,83
Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,270,82
Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,242,81
Sugar,Maroon 5,pop,2015,120,79,75,235,81
Sorry,Justin Bieber,canadian pop,2015,100,76,65,201,81
FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,188,80
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,253,79
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,252,79
What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,206,79
Stitches,Shawn Mendes,canadian pop,2015,150,75,75,207,78
Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,208,77
My House,Flo Rida,dance pop,2015,94,70,69,192,77
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83,208,77
Night Changes,One Direction,boy band,2015,120,52,67,227,77
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,213,77
Never Forget You,Zara Larsson,dance pop,2015,146,73,58,213,77
Love Me Harder,Ariana Grande,dance pop,2015,99,71,47,236,76
Animals,Maroon 5,pop,2015,190,74,28,231,76
Blame,Calvin Harris,dance pop,2015,128,86,41,213,76
Worth It,Fifth Harmony,dance pop,2015,100,77,88,225,75
Break Free,Ariana Grande,dance pop,2015,130,70,69,215,75
Don't,Ed Sheeran,pop,2015,95,61,81,220,74
Elastic Heart,Sia,australian dance,2015,130,79,42,257,73
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,228,73
Hello,Adele,british soul,2015,158,45,48,295,73
Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,184,72
43776,Beyonce,dance pop,2015,136,71,75,214,72
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,227,72
